pID	day	time 	subtask
P9	1	24.82	1
P9	2	36.04	1
P9	3	25.65	1
P9	4	12.57	1
P15	1	32.19	1
P15	2	23.45	1
P15	3	37.66	1
P15	4	31.15	1
P16	1	49.16	1
P16	2	52.53	1
P16	3	53.87	1
P16	4	36.22	1
P26	1	34.53	1
P26	2	33.34	1
P26	3	36.89	1
P26	4	29.67	1
P31	1	26.8	1
P31	2	62.51	1
P31	3	48.22	1
P31	4	49.34	1
P42	1	49.16	1
P42	2	33.38	1
P42	3	36.3	1
P42	4	20.42	1
P44	1	35.77	1
P44	2	18.28	1
P44	3	14.91	1
P44	4	9.89	1
P49	1	57.5	1
P49	2	25.1	1
P49	3	13.89	1
P49	4	18.88	1
P57	1	35.94	1
P57	2	47.09	1
P57	3	34.23	1
P57	4	11.56	1
P63	1	64.71	1
P63	2	27.52	1
P63	3	34.99	1
P63	4	16.77	1
P11	1	31.59	1
P11	2	27.72	1
P11	3	26.63	1
P11	4	40.54	1
P27	1	37.95	1
P27	2	41.83	1
P27	3	24.95	1
P27	4	26.84	1
P32	1	40.47	1
P32	2	27.03	1
P32	3	17.78	1
P32	4	16.06	1
P34	1	29.26	1
P34	2	11.68	1
P34	3	26.34	1
P34	4	11.45	1
P40	1	29.33	1
P40	2	56.94	1
P40	3	18.89	1
P40	4	20.65	1
P48	1	24.61	1
P48	2	26.47	1
P48	3	27.23	1
P48	4	20.72	1
P54	1	39.38	1
P54	2	50.86	1
P54	3	37.57	1
P54	4	18.28	1
P66	1	36.99	1
P66	2	25.46	1
P66	3	21.43	1
P66	4	32.24	1
P72	1	27.65	1
P72	2	32.83	1
P72	3	19.53	1
P72	4	15.92	1
P75	1	39.15	1
P75	2	22.64	1
P75	3	15.3	1
P75	4	11.66	1
P12	1	19.61	1
P12	2	30.37	1
P12	3	21.38	1
P12	4	15.65	1
P14	1	35.19	1
P14	2	30.61	1
P14	3	22.24	1
P14	4	24.99	1
P19	1	75.62	1
P19	2	61.03	1
P19	3	53.19	1
P19	4	40.47	1
P20	1	28.93	1
P20	2	32.27	1
P20	3	34.68	1
P20	4	36.57	1
P23	1	52.01	1
P23	2	19.73	1
P23	3	17.07	1
P23	4	10.26	1
P46	1	60.4	1
P46	2	35.31	1
P46	3	21.97	1
P46	4	13.39	1
P51	1	26.74	1
P51	2	15.91	1
P51	3	20.86	1
P51	4	10.27	1
P59	1	43.41	1
P59	2	39.5	1
P59	3	19.03	1
P59	4	22.2	1
P68	1	57.13	1
P68	2	30.01	1
P68	3	18.27	1
P68	4	35.29	1
P73	1	25.12	1
P73	2	30.98	1
P73	3	40.44	1
P73	4	15.9	1
P9	1	22.3	2
P9	2	20.5	2
P9	3	21.13	2
P9	4	NA	2
P15	1	41.22	2
P15	2	50.72	2
P15	3	11.73	2
P15	4	NA	2
P16	1	NA	2
P16	2	NA	2
P16	3	NA	2
P16	4	NA	2
P26	1	119.93	2
P26	2	35.59	2
P26	3	NA	2
P26	4	32.71	2
P31	1	33.09	2
P31	2	120.4	2
P31	3	24.56	2
P31	4	32.38	2
